Nombre
Aparejos de pesca
Equipo de juego
Herramientas de cantero
Herramientas de carpintero
Herramientas de cartógrafo
Herramientas de ebanista
Herramientas de herrero
Herramientas de ladrón
Herramientas de manitas
Herramientas de navegante
Herramientas de soplador de vidrio
Herramientas de talabartero
"Herramientas de tejedor "
Herramientas de trampero
Herramientas del alfarero
Instrumento musical
Kit de disfraz
Kit de escalada
Kit de falsificación
Kit de herborista
Kit de sanador
Suministros de alquimista
Suministros de calígrafo
Suministros de cervecero
Suministros de envenenador
Suministros de joyero
Suministros de pintor
Suministros de tatuador
Utensilios de cocina
